task_name,task_type,days_until_deadline,remaining_days,required_hours,progress_percent,current_cgpa,task_weight,weightage_marks,difficulty_level,stress_level,past_delay_history,dependency_count,risk_score,delay_days,will_delay
Network Lab - Packet Analysis #4,lab_experiment,30,27,17.8,71,8.69,19,19,hard,low,8,0,34.7,-1,0
Digital Electronics Lab,lab_experiment,28,24,78.7,72,9.81,26,58,medium,high,2,0,31.2,-3,0
OS Assignment #5,assignment,15,14,48.3,91,9.72,19,23,easy,critical,5,4,46.7,12,1
ML Model Project,project,2,1,55.2,13,4.8,36,77,easy,high,0,2,72.0,3,1
Network Lab - Packet Analysis (Sem 6),lab_experiment,21,17,8.3,10,7.2,44,31,easy,medium,4,0,44.4,0,0
Unit Test #4,exam,6,2,71.2,13,4.06,27,38,easy,low,1,3,54.1,10,1
Compiler Lab - Lexical Analysis #1,lab_experiment,32,27,14.4,24,7.26,6,19,medium,medium,0,1,32.8,1,1
Computer Graphics Assignment,assignment,29,27,31.7,49,4.49,50,40,hard,low,7,3,58.2,3,1
Research Project #1,project,6,1,57.3,70,4.04,18,98,hard,critical,3,1,85.8,4,1
Mid-Semester Exam (Sem 7),exam,8,5,11.4,8,4.21,41,44,medium,low,3,0,54.5,6,1
Math Assignment,assignment,22,21,3.3,50,6.66,8,85,hard,high,2,2,49.8,1,1
ML Model Project #1,project,23,18,54.7,53,6.02,20,82,easy,high,3,5,47.4,9,1
Weekly Test,exam,19,19,47.5,64,4.12,5,13,hard,medium,6,1,51.7,11,1
Capstone Project,project,24,22,35.0,30,7.89,22,60,medium,critical,0,1,43.2,10,1
Practical Exam #3,exam,32,27,23.7,20,4.35,37,23,hard,critical,0,1,63.7,4,1
OS Lab - Process Scheduling #1,lab_experiment,7,3,42.3,77,4.04,6,86,easy,medium,5,0,50.2,8,1
End-Semester Exam #5,exam,29,26,38.4,45,8.81,22,61,easy,medium,2,5,34.2,-2,0
Internal Assessment #5,exam,17,13,70.5,81,7.35,45,73,hard,low,2,0,31.3,-1,0
Mini Project #1,project,30,25,27.8,36,6.93,23,21,medium,high,7,0,52.1,11,1
ML Model Project,project,29,27,29.7,47,6.13,40,16,easy,high,0,3,37.6,12,1
Viva Voce #4,exam,15,13,11.7,57,8.13,42,42,medium,high,0,6,39.8,-3,0
AI Lab - Search Algorithms (Sem 1),lab_experiment,16,16,21.9,55,7.99,33,15,easy,low,0,3,18.3,-1,0
Web Dev Assignment,assignment,6,5,29.7,42,5.94,17,94,hard,low,1,3,52.3,7,1
Network Lab - Packet Analysis (Sem 1),lab_experiment,13,11,74.2,62,6.22,48,14,easy,medium,7,4,45.4,1,1
Module Exam (Sem 3),exam,6,3,15.8,26,5.27,44,61,hard,critical,0,6,86.2,13,1
Computer Vision Lab #4,lab_experiment,30,30,11.8,7,8.69,29,46,medium,high,7,3,59.5,5,1
Open Source Contribution,project,10,10,44.9,45,4.35,48,19,hard,critical,4,1,71.8,13,1
Compiler Lab - Lexical Analysis (Sem 1),lab_experiment,19,18,41.7,15,4.05,38,54,hard,high,1,2,61.8,4,1
Compiler Lab - Lexical Analysis,lab_experiment,8,7,75.2,86,9.21,39,62,medium,high,8,6,56.7,2,1
Math Assignment (Sem 4),assignment,24,24,68.2,43,5.17,32,72,medium,low,10,4,52.6,4,1
Networking Assignment,assignment,8,3,35.0,60,6.78,30,85,easy,high,1,4,54.0,14,1
Data Structures Assignment #3,assignment,28,28,46.7,4,7.61,36,47,very_hard,high,5,5,79.8,5,1
Software Engineering Assignment #5,assignment,11,7,36.9,55,6.82,40,92,medium,low,10,2,50.0,12,1
Online Quiz (Sem 7),exam,14,10,73.3,79,4.98,29,33,hard,medium,7,1,51.1,3,1
Internal Assessment,exam,26,21,49.6,73,8.0,7,51,medium,high,10,6,48.1,2,1
End-Semester Exam,exam,3,0,32.4,83,9.14,14,83,hard,medium,8,0,61.8,11,1
Final Year Project (Sem 2),project,6,3,63.6,20,8.08,16,40,medium,medium,4,5,64.6,11,1
IOT Lab Experiment,lab_experiment,6,6,42.5,33,5.16,9,34,medium,high,1,6,62.3,7,1
Embedded Systems Lab,lab_experiment,25,23,37.4,21,4.15,18,42,medium,medium,3,5,56.6,6,1
End-Semester Exam #3,exam,28,25,69.8,57,9.42,17,18,hard,high,8,4,57.3,6,1
Embedded Systems Lab #4,lab_experiment,25,20,2.5,69,9.21,38,87,medium,medium,0,0,20.0,-1,0
Weekly Test #5,exam,14,11,1.8,67,9.81,48,43,very_hard,medium,9,0,51.4,13,1
AI Lab - Search Algorithms (Sem 7),lab_experiment,9,5,42.6,21,6.59,34,36,medium,medium,8,3,63.2,4,1
Group Project - Web App (Sem 5),project,11,6,8.4,10,5.14,13,29,hard,medium,0,2,58.3,6,1
Networking Assignment #1,assignment,18,18,52.7,51,5.72,31,42,hard,high,3,4,63.9,12,1
Open Source Contribution,project,34,29,38.5,16,9.33,15,91,medium,high,8,0,50.3,9,1
Math Assignment (Sem 4),assignment,19,18,29.8,64,7.21,7,32,easy,medium,1,3,26.9,-3,0
DS Lab - Linked List,lab_experiment,34,29,38.4,66,6.73,5,29,medium,medium,0,3,28.3,-2,0
ML Model Project,project,15,10,3.4,75,4.53,35,78,easy,medium,10,1,40.5,0,0
Computer Vision Lab (Sem 6),lab_experiment,19,18,75.4,7,8.66,14,33,hard,high,8,0,59.0,5,1
Industry Internship Project (Sem 4),project,11,10,66.4,53,7.54,14,41,very_hard,high,0,3,48.8,3,1
Module Exam (Sem 2),exam,4,2,35.1,86,8.99,15,39,very_hard,high,6,3,72.3,9,1
OS Assignment #5,assignment,15,15,79.6,35,8.22,9,29,hard,critical,4,2,61.9,8,1
DBMS Assignment #1,assignment,6,4,44.3,39,7.02,30,33,medium,medium,10,4,61.2,7,1
Web Dev Assignment #2,assignment,17,14,3.0,53,9.85,17,88,very_hard,high,10,0,58.1,12,1
Embedded Systems Lab #5,lab_experiment,14,11,24.1,89,6.48,40,42,hard,critical,6,3,64.2,12,1
DS Lab - Linked List #4,lab_experiment,24,24,72.6,64,5.63,19,53,medium,medium,7,4,52.1,6,1
Computer Vision Lab (Sem 6),lab_experiment,10,7,6.8,87,9.57,37,99,easy,medium,8,4,42.3,-2,0
Computer Vision Lab #4,lab_experiment,6,4,22.1,0,5.09,29,73,hard,low,7,6,77.9,9,1
Computer Vision Lab #3,lab_experiment,24,24,58.1,29,6.63,31,36,hard,high,0,1,48.3,14,1
Algorithms Assignment #2,assignment,7,2,13.4,78,9.35,40,11,medium,medium,5,6,58.4,2,1
Machine Learning Assignment (Sem 2),assignment,30,26,37.5,0,9.2,37,36,hard,medium,1,1,45.7,-2,0
Mid-Semester Exam #2,exam,20,18,15.3,5,4.4,30,57,medium,medium,7,2,61.0,9,1
Group Project - Web App,project,26,21,40.1,95,8.53,26,60,easy,critical,5,3,44.6,4,1
End-Semester Exam,exam,24,24,60.0,48,8.97,31,96,very_hard,high,3,0,54.5,8,1
Mobile App Development #1,project,14,9,30.6,76,6.78,42,21,medium,medium,3,6,43.0,0,0
IoT Based Project #4,project,11,8,63.0,49,7.34,22,33,medium,medium,3,6,46.4,-2,0
Surprise Test (Sem 7),exam,15,12,58.3,69,8.23,48,24,medium,high,8,4,51.0,1,1
End-Semester Exam,exam,14,13,75.1,67,6.67,26,23,easy,high,1,4,37.2,-2,0
Industry Internship Project,project,25,20,71.6,26,9.28,43,92,hard,medium,1,5,49.1,-2,0
Networking Assignment #3,assignment,29,26,48.9,76,4.18,7,70,easy,medium,8,3,41.5,-2,0
OS Lab - Process Scheduling #4,lab_experiment,14,11,69.2,25,6.65,9,92,hard,low,0,2,36.9,2,1
Embedded Systems Lab #4,lab_experiment,33,30,79.7,77,6.17,42,94,hard,medium,2,5,46.8,3,1
Surprise Test,exam,14,14,47.6,60,5.88,33,84,very_hard,high,0,6,63.3,10,1
Practical Exam,exam,22,17,50.3,88,5.67,24,36,hard,high,2,3,50.8,14,1
Mobile App Development,project,12,7,31.7,62,5.62,39,76,medium,medium,9,3,60.5,10,1
Machine Learning Assignment,assignment,18,18,79.0,38,4.73,49,40,medium,low,9,2,51.3,10,1
Algorithms Assignment #3,assignment,9,8,37.2,57,4.83,24,44,medium,low,8,3,47.0,2,1
Computer Graphics Assignment #3,assignment,31,26,13.9,60,5.66,8,68,medium,low,9,1,40.8,-3,0
Online Quiz #1,exam,18,17,78.5,3,5.37,31,76,very_hard,high,1,5,77.5,1,1
Module Exam #4,exam,5,0,38.1,3,4.64,41,93,hard,medium,9,5,100.0,3,1
Online Quiz (Sem 8),exam,26,24,62.1,50,8.89,10,71,hard,low,6,1,40.0,0,0
Capstone Project,project,13,12,63.8,97,7.37,18,78,easy,low,3,1,18.4,0,0
AI Lab - Search Algorithms #5,lab_experiment,4,0,21.0,50,6.2,22,82,medium,low,5,1,64.2,7,1
Viva Voce (Sem 5),exam,22,20,23.7,16,4.65,34,58,easy,critical,10,0,65.2,14,1
DBMS Assignment #5,assignment,33,29,13.9,1,9.5,48,85,easy,low,3,6,43.6,0,0
Mid-Semester Exam #3,exam,19,16,49.9,76,4.24,10,86,easy,medium,1,6,33.8,-1,0
AI Lab - Search Algorithms,lab_experiment,31,29,51.3,41,7.08,22,98,hard,medium,8,3,57.0,14,1
DBMS Assignment (Sem 8),assignment,34,30,59.7,25,8.83,19,40,hard,medium,9,2,52.9,3,1
OS Assignment #5,assignment,27,25,36.4,48,4.5,50,95,very_hard,critical,5,0,80.4,12,1
ML Model Project,project,6,2,25.2,81,7.9,36,41,hard,high,5,6,71.4,3,1
AI Lab - Search Algorithms (Sem 6),lab_experiment,30,28,23.2,95,4.38,47,17,medium,high,4,5,54.7,7,1
Research Project #4,project,21,21,7.0,77,9.66,37,89,easy,critical,9,0,43.3,-1,0
Compiler Lab - Lexical Analysis (Sem 6),lab_experiment,9,8,28.1,91,9.78,32,26,hard,medium,6,6,47.0,12,1
Web Dev Assignment,assignment,29,25,23.4,91,6.73,26,19,medium,high,0,3,32.4,-1,0
Machine Learning Assignment #3,assignment,26,22,70.9,17,8.02,8,54,hard,medium,4,3,52.4,12,1
End-Semester Exam #2,exam,19,19,53.3,82,6.58,11,89,very_hard,high,9,3,62.7,4,1
Research Project,project,7,7,25.9,34,6.27,19,86,hard,medium,2,4,59.1,1,1
Viva Voce (Sem 1),exam,10,5,60.6,13,7.45,8,70,hard,medium,5,5,73.2,4,1
Data Structures Assignment (Sem 5),assignment,28,23,17.5,23,8.48,15,59,easy,critical,10,2,55.9,13,1
Practical Exam (Sem 3),exam,13,9,40.3,49,8.78,33,79,hard,high,3,4,54.5,4,1
Internal Assessment (Sem 1),exam,23,21,7.3,69,7.03,27,66,medium,medium,2,6,39.9,-3,0
Weekly Test (Sem 4),exam,18,14,16.7,87,9.12,40,87,hard,high,10,5,55.6,10,1
Online Quiz #1,exam,13,10,13.4,40,8.07,29,91,medium,critical,2,3,51.9,2,1
IoT Based Project #5,project,5,1,44.6,4,7.99,7,72,medium,critical,2,0,75.9,5,1
Industry Internship Project #1,project,10,6,2.6,51,8.96,39,42,medium,medium,9,1,48.7,1,1
AI Lab - Search Algorithms,lab_experiment,24,21,19.6,12,7.44,10,79,hard,high,0,0,47.6,2,1
OS Lab - Process Scheduling #2,lab_experiment,30,29,49.2,83,4.43,30,89,hard,medium,2,3,45.4,-3,0
Mobile App Development #4,project,2,2,39.6,73,5.32,16,66,medium,medium,0,4,50.0,-2,0
Networking Assignment,assignment,26,23,7.3,67,5.33,10,52,easy,high,0,0,29.6,0,0
End-Semester Exam (Sem 7),exam,24,22,17.7,4,7.3,6,47,easy,critical,3,0,53.8,7,1
Research Project #2,project,17,12,20.9,35,6.85,7,58,easy,medium,6,3,44.7,-2,0
Capstone Project,project,8,8,43.9,5,4.36,15,87,easy,high,7,4,65.5,13,1
OS Assignment,assignment,25,23,61.6,34,6.79,48,64,hard,medium,5,3,61.0,13,1
Weekly Test,exam,30,25,18.8,80,6.77,25,91,hard,high,4,6,57.5,8,1
Data Structures Assignment (Sem 4),assignment,29,26,42.8,69,8.3,30,50,easy,high,8,0,36.2,5,1
Internal Assessment,exam,2,0,49.3,69,5.04,34,14,easy,low,7,2,63.6,6,1
Weekly Test (Sem 4),exam,28,24,35.3,37,8.74,10,64,medium,low,1,0,21.6,0,0
DS Lab - Linked List #1,lab_experiment,17,16,8.1,22,9.89,19,97,medium,low,0,6,32.5,-1,0
Machine Learning Assignment (Sem 7),assignment,2,2,14.1,47,7.01,24,48,hard,medium,6,2,69.0,11,1
Capstone Project,project,7,4,9.5,51,7.1,5,82,medium,low,10,6,53.3,8,1
Mobile App Development,project,4,2,13.0,53,6.9,46,67,easy,low,0,3,40.0,9,1
Open Source Contribution #4,project,25,23,9.0,60,9.32,27,87,hard,medium,9,2,46.7,-2,0
ML Model Project,project,13,10,36.1,48,7.23,41,91,hard,high,3,5,62.5,14,1
End-Semester Exam,exam,12,7,13.7,85,7.9,47,71,hard,low,4,5,49.7,12,1
Computer Graphics Assignment (Sem 1),assignment,19,14,65.0,44,7.86,11,89,hard,medium,10,5,54.3,12,1
Network Lab - Packet Analysis (Sem 1),lab_experiment,12,9,73.0,19,6.02,42,63,easy,low,10,5,50.4,10,1
Internal Assessment,exam,13,12,74.0,87,8.9,48,12,medium,medium,8,0,32.4,-1,0
Mobile App Development,project,33,29,43.3,44,9.65,45,76,medium,critical,4,6,62.7,10,1
Embedded Systems Lab #2,lab_experiment,16,16,55.7,66,6.99,44,90,very_hard,critical,3,2,69.2,8,1
AI Lab - Search Algorithms (Sem 2),lab_experiment,16,13,31.6,12,8.8,36,47,medium,high,4,3,56.2,5,1
Computer Vision Lab #2,lab_experiment,17,16,58.6,66,6.9,43,91,easy,high,1,3,37.1,-2,0
Machine Learning Assignment #3,assignment,17,16,30.8,56,6.86,18,38,easy,critical,5,4,58.6,2,1
Digital Electronics Lab #4,lab_experiment,9,7,1.6,13,7.74,21,43,very_hard,medium,5,5,77.5,3,1
AI Lab - Search Algorithms (Sem 7),lab_experiment,27,25,75.3,14,6.47,16,18,medium,low,1,1,33.8,-1,0
Digital Electronics Lab #3,lab_experiment,23,20,3.3,80,9.0,5,90,easy,high,7,2,35.5,-1,0
Web Dev Assignment #4,assignment,20,17,41.9,14,5.36,47,41,easy,medium,0,3,42.9,9,1
DS Lab - Linked List (Sem 5),lab_experiment,10,5,73.5,100,4.77,21,56,easy,high,8,4,55.1,2,1
Final Year Project,project,9,9,39.5,89,8.98,24,62,easy,medium,1,5,22.6,-3,0
OS Assignment,assignment,23,18,53.2,10,7.78,41,74,hard,medium,5,4,62.1,5,1
Module Exam,exam,17,14,6.8,56,9.88,49,23,very_hard,medium,8,2,57.7,4,1
Computer Graphics Assignment #1,assignment,11,8,46.0,32,4.08,38,10,hard,low,8,4,62.4,12,1
Network Lab - Packet Analysis #5,lab_experiment,8,8,48.8,97,6.33,40,47,easy,high,3,3,36.6,0,0
Practical Exam (Sem 7),exam,14,10,36.8,16,7.15,15,40,hard,medium,6,1,57.3,7,1
Data Structures Assignment #5,assignment,22,18,3.0,15,9.18,40,75,easy,high,0,0,33.0,-1,0
IOT Lab Experiment (Sem 3),lab_experiment,16,12,59.2,80,4.96,46,90,easy,critical,3,0,47.6,8,1
Data Structures Assignment #5,assignment,23,18,14.4,21,5.23,50,85,medium,critical,6,1,72.8,2,1
Viva Voce (Sem 6),exam,6,2,79.4,7,6.67,48,26,medium,low,10,1,65.4,14,1
Unit Test,exam,14,10,61.7,30,5.84,15,100,very_hard,medium,9,6,75.5,11,1
ML Model Project #5,project,19,19,5.2,18,8.63,19,40,medium,high,8,2,54.3,8,1
Digital Electronics Lab #2,lab_experiment,21,20,52.2,77,4.58,32,20,hard,low,5,4,52.8,8,1
Internal Assessment (Sem 3),exam,13,13,22.5,74,7.61,8,96,very_hard,critical,4,0,58.0,7,1
Industry Internship Project (Sem 3),project,2,1,37.7,99,9.5,44,97,hard,low,5,6,66.6,5,1
OS Assignment #5,assignment,21,20,41.6,43,8.7,24,78,hard,medium,4,0,42.8,14,1
Computer Graphics Assignment,assignment,21,17,77.6,44,8.41,6,73,hard,critical,0,4,51.8,11,1
Math Assignment,assignment,21,18,23.5,26,9.79,47,95,very_hard,medium,10,1,61.5,11,1
Compiler Lab - Lexical Analysis (Sem 6),lab_experiment,17,13,2.9,88,7.28,32,86,hard,low,5,5,47.6,11,1
DBMS Assignment,assignment,13,8,15.8,79,7.87,48,46,hard,high,0,1,35.0,-1,0
Computer Graphics Assignment (Sem 7),assignment,15,14,25.4,34,8.69,8,89,very_hard,high,7,5,71.0,8,1
AI Lab - Search Algorithms #5,lab_experiment,12,9,31.5,6,9.66,39,37,medium,low,8,4,50.7,1,1
Data Structures Assignment,assignment,13,8,37.4,80,8.62,10,74,easy,medium,2,0,16.0,-2,0
DS Lab - Linked List (Sem 6),lab_experiment,17,15,37.1,27,9.9,32,81,hard,high,8,6,66.8,8,1
IoT Based Project (Sem 6),project,13,11,12.0,65,6.48,25,59,very_hard,medium,6,6,64.5,7,1
Module Exam (Sem 3),exam,14,12,70.1,65,6.84,19,15,easy,low,5,2,32.9,0,0
Practical Exam #2,exam,18,14,41.3,17,7.51,45,90,very_hard,medium,7,0,61.1,5,1
Algorithms Assignment #3,assignment,26,21,31.5,97,5.17,7,64,hard,medium,1,6,41.3,2,1
Computer Graphics Assignment,assignment,22,17,35.8,46,7.93,27,51,hard,low,9,4,48.5,2,1
DS Lab - Linked List,lab_experiment,24,19,49.5,59,8.31,10,76,easy,low,6,3,30.2,0,0
Internal Assessment #4,exam,21,17,77.8,75,7.12,43,29,medium,critical,3,5,58.3,7,1
Weekly Test (Sem 4),exam,12,9,31.8,66,7.2,18,74,medium,medium,1,5,36.6,0,0
Mobile App Development (Sem 6),project,21,21,43.6,24,4.49,44,63,hard,low,1,5,54.6,8,1
Data Structures Assignment (Sem 4),assignment,3,2,79.4,2,6.22,49,72,medium,low,10,6,74.5,9,1
Practical Exam (Sem 6),exam,27,24,34.5,41,6.25,11,91,easy,medium,3,0,31.9,0,0
IOT Lab Experiment (Sem 2),lab_experiment,27,22,20.1,74,9.51,11,31,hard,high,4,2,46.3,10,1
DS Lab - Linked List (Sem 6),lab_experiment,16,16,77.2,23,5.73,25,73,easy,low,6,1,44.9,0,0
Internal Assessment #3,exam,20,19,41.6,52,5.21,36,99,easy,medium,7,2,47.2,11,1
DBMS Assignment,assignment,33,30,1.2,80,9.12,29,39,hard,medium,3,2,36.9,0,0
DBMS Assignment,assignment,25,23,32.4,9,8.26,45,32,hard,medium,7,0,54.7,13,1
Compiler Lab - Lexical Analysis #2,lab_experiment,28,23,70.2,34,8.07,19,54,very_hard,low,2,5,51.1,-2,0
Open Source Contribution #3,project,28,23,63.7,39,7.22,15,59,easy,critical,2,6,54.7,12,1
Compiler Lab - Lexical Analysis,lab_experiment,29,28,21.3,40,9.57,28,40,easy,medium,1,0,22.8,-2,0
Data Structures Assignment (Sem 6),assignment,20,16,11.7,46,9.07,15,35,medium,medium,0,6,32.3,-1,0
Open Source Contribution #2,project,13,11,32.7,65,6.22,40,18,medium,low,4,1,35.0,0,0
Module Exam,exam,29,27,57.6,62,8.27,18,35,very_hard,low,9,5,54.4,3,1
Mobile App Development,project,11,9,37.0,47,4.16,34,50,easy,medium,6,2,48.0,13,1
Module Exam (Sem 1),exam,14,12,43.3,50,9.21,36,27,easy,low,2,0,19.6,-1,0
OS Lab - Process Scheduling,lab_experiment,22,22,46.4,4,8.96,41,70,hard,low,3,3,50.3,13,1
Compiler Lab - Lexical Analysis (Sem 2),lab_experiment,25,25,67.8,91,4.88,8,29,medium,low,2,1,25.6,-2,0
Mini Project (Sem 1),project,25,24,51.2,42,5.79,14,43,hard,low,4,1,49.0,1,1
DS Lab - Linked List,lab_experiment,0,0,16.1,57,7.16,43,31,medium,high,4,5,81.9,4,1
Mid-Semester Exam (Sem 8),exam,8,3,74.6,42,5.38,15,87,medium,medium,10,3,69.1,7,1
Computer Vision Lab #3,lab_experiment,26,23,64.2,36,4.34,39,86,very_hard,medium,5,1,68.7,7,1
Algorithms Assignment,assignment,23,20,4.1,6,6.35,20,58,easy,medium,3,0,39.8,-1,0
Capstone Project,project,20,15,74.7,99,5.19,16,85,easy,medium,9,5,41.8,9,1
Capstone Project (Sem 4),project,28,23,15.4,38,5.17,37,29,easy,medium,9,1,48.1,3,1
Network Lab - Packet Analysis,lab_experiment,21,16,63.1,25,7.0,25,32,hard,medium,9,0,54.5,7,1
IOT Lab Experiment,lab_experiment,33,28,55.3,35,5.8,15,49,medium,low,9,1,46.5,-1,0
Online Quiz (Sem 1),exam,26,21,45.8,73,8.24,49,92,medium,medium,2,5,36.3,-2,0
IOT Lab Experiment #3,lab_experiment,30,29,68.9,70,8.91,19,36,hard,medium,10,4,47.9,6,1
Computer Graphics Assignment,assignment,24,24,46.8,95,5.61,40,71,medium,medium,8,5,50.0,-2,0
Weekly Test,exam,28,23,54.8,1,4.03,5,81,medium,critical,8,3,76.3,10,1
Module Exam (Sem 7),exam,16,14,37.8,80,8.52,15,89,easy,medium,5,5,35.5,0,0
Mid-Semester Exam (Sem 7),exam,9,4,67.2,58,9.07,47,10,hard,medium,2,5,54.1,11,1
Viva Voce (Sem 2),exam,21,21,71.5,47,6.13,31,32,hard,critical,2,3,62.7,11,1
Capstone Project (Sem 1),project,33,29,66.4,6,8.43,41,61,medium,low,3,3,42.9,-1,0
AI Lab - Search Algorithms (Sem 4),lab_experiment,4,4,35.0,34,9.1,19,27,very_hard,high,4,1,69.1,5,1
Networking Assignment #4,assignment,9,4,22.1,15,4.26,9,52,hard,critical,8,1,84.9,11,1
Computer Graphics Assignment (Sem 4),assignment,30,30,60.0,23,4.98,28,30,hard,high,4,4,72.2,8,1
Weekly Test,exam,16,13,52.4,85,6.29,23,30,medium,high,3,0,36.3,0,0
Web Dev Assignment (Sem 2),assignment,6,1,6.5,4,4.65,23,47,medium,low,6,4,84.5,11,1
Unit Test (Sem 2),exam,19,16,25.3,75,7.92,6,45,medium,low,0,5,20.6,-3,0
Research Project (Sem 2),project,28,26,73.5,22,10.0,23,82,hard,low,6,2,48.9,-3,0
End-Semester Exam,exam,14,14,54.0,35,8.11,18,19,easy,medium,0,1,21.8,-3,0
Module Exam (Sem 8),exam,10,10,31.6,1,8.62,33,55,hard,medium,4,4,60.1,4,1
End-Semester Exam,exam,20,18,10.5,92,4.79,34,70,easy,low,5,6,40.0,-2,0
Mini Project,project,3,3,72.7,55,5.04,35,22,medium,high,9,1,71.5,5,1
Data Structures Assignment (Sem 2),assignment,30,27,77.1,1,7.79,49,73,easy,medium,3,0,38.7,-3,0
Group Project - Web App,project,4,4,35.7,41,8.4,39,92,very_hard,medium,2,2,58.7,1,1
Final Year Project (Sem 7),project,19,18,26.1,29,8.88,31,14,easy,low,9,5,42.3,-2,0
Computer Graphics Assignment,assignment,4,0,49.3,64,4.69,44,67,very_hard,low,9,1,83.6,11,1
Digital Electronics Lab #5,lab_experiment,23,23,27.5,75,9.18,21,89,easy,medium,10,1,29.1,-1,0
Mid-Semester Exam #2,exam,13,8,14.7,31,7.2,50,65,hard,critical,6,2,74.8,9,1
OS Assignment,assignment,31,30,45.7,93,4.81,34,28,hard,low,6,3,47.8,0,0
Industry Internship Project (Sem 4),project,15,12,37.2,8,4.07,5,75,hard,low,0,4,48.9,10,1
Compiler Lab - Lexical Analysis,lab_experiment,23,23,79.5,58,7.46,8,81,easy,medium,6,3,40.2,-3,0
Research Project #1,project,27,26,47.6,41,8.4,48,27,medium,high,6,0,48.6,0,0
Mini Project (Sem 1),project,8,8,54.2,79,4.16,41,33,hard,high,7,3,63.3,8,1
Embedded Systems Lab,lab_experiment,29,28,18.3,74,7.57,27,15,medium,high,10,3,45.9,0,0
Math Assignment (Sem 1),assignment,20,20,52.2,43,8.99,8,96,hard,medium,0,3,35.2,-2,0
Mid-Semester Exam #5,exam,32,30,71.4,37,5.87,9,84,hard,medium,1,6,53.5,3,1
Internal Assessment #4,exam,3,1,2.0,23,7.58,42,88,very_hard,medium,1,4,80.6,2,1
Algorithms Assignment #5,assignment,19,15,21.8,1,5.42,10,67,medium,high,1,0,50.8,13,1
Mobile App Development #4,project,5,0,79.7,5,5.67,36,53,hard,low,1,2,76.6,14,1
IoT Based Project (Sem 3),project,10,10,57.6,31,8.94,30,14,very_hard,critical,0,1,58.8,7,1
ML Model Project #5,project,29,27,70.7,60,9.71,18,51,very_hard,critical,3,2,62.8,11,1
ML Model Project #2,project,4,0,9.3,7,6.75,7,13,medium,medium,0,0,59.3,1,1
Network Lab - Packet Analysis,lab_experiment,8,8,65.2,51,4.06,48,88,easy,medium,7,5,54.6,9,1
End-Semester Exam,exam,18,18,40.4,50,5.56,22,86,easy,medium,9,2,46.2,12,1
Mini Project,project,23,22,78.8,88,9.04,33,26,medium,low,4,6,32.7,-3,0
Embedded Systems Lab (Sem 3),lab_experiment,22,20,68.3,52,6.13,26,84,easy,low,8,4,40.2,-1,0
Open Source Contribution #5,project,31,27,46.5,27,9.1,47,84,medium,medium,3,4,46.3,-3,0
DBMS Assignment (Sem 5),assignment,17,14,7.7,81,5.82,21,38,hard,high,10,5,64.9,13,1
Group Project - Web App (Sem 1),project,27,27,41.5,56,6.04,34,87,medium,medium,3,0,36.2,-2,0
Unit Test,exam,7,5,74.7,21,7.85,39,53,easy,medium,6,5,57.7,11,1
Math Assignment,assignment,27,24,39.9,94,4.03,38,87,medium,low,6,3,41.0,-1,0
Open Source Contribution,project,25,23,68.0,46,7.31,41,37,hard,medium,10,0,51.9,11,1
Viva Voce (Sem 1),exam,11,7,44.5,24,7.16,17,42,medium,critical,6,4,77.9,13,1
Machine Learning Assignment #1,assignment,23,19,31.9,5,4.82,50,61,hard,critical,2,5,82.0,9,1
DBMS Lab - SQL Queries,lab_experiment,15,15,37.8,76,8.79,11,89,easy,medium,8,5,35.9,0,0
Final Year Project,project,21,16,61.4,28,9.47,20,45,hard,low,9,4,51.4,3,1
Practical Exam (Sem 2),exam,7,6,62.5,71,7.13,24,93,medium,critical,4,1,60.2,6,1
Web Dev Assignment (Sem 4),assignment,28,27,4.6,25,7.57,48,17,hard,high,7,4,66.8,7,1
Capstone Project,project,3,1,16.0,95,5.91,45,90,very_hard,medium,0,5,75.5,4,1
Capstone Project #2,project,4,2,15.3,32,6.83,10,55,hard,low,6,5,71.6,4,1
Computer Vision Lab #3,lab_experiment,22,22,51.7,65,9.29,49,30,very_hard,medium,3,3,51.9,-1,0
End-Semester Exam (Sem 3),exam,19,14,29.6,63,6.84,8,59,easy,critical,6,0,48.2,2,1
ML Model Project #1,project,5,0,5.8,93,7.53,25,62,hard,high,10,2,71.9,10,1
Research Project (Sem 4),project,29,25,38.4,61,6.29,21,10,easy,medium,7,6,44.9,-3,0
Practical Exam #1,exam,13,8,70.4,99,4.77,46,30,medium,medium,10,6,49.8,7,1
Unit Test (Sem 4),exam,15,12,29.6,22,6.73,21,53,hard,medium,3,6,58.7,5,1
Computer Vision Lab (Sem 6),lab_experiment,13,11,19.7,84,5.79,15,33,hard,critical,4,3,64.7,1,1
Viva Voce #3,exam,15,11,70.2,89,5.21,47,100,very_hard,low,8,5,61.9,11,1
Mobile App Development #5,project,3,1,68.8,65,7.24,14,76,medium,critical,5,6,88.4,12,1
AI Lab - Search Algorithms,lab_experiment,8,4,50.0,84,6.8,50,40,medium,medium,2,6,47.2,5,1
DBMS Assignment (Sem 5),assignment,24,24,24.8,54,7.09,29,99,hard,high,8,5,66.1,10,1
Machine Learning Assignment,assignment,30,28,75.1,22,6.93,24,66,hard,low,5,3,56.0,9,1
Group Project - Web App #4,project,31,28,10.7,51,4.94,36,37,medium,medium,1,1,38.4,0,0
